1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
1224 4 1222 1221 1220 1219 1218 1217 1216 1215 1214 1213 1212 1211 1210 1209 1208 1207 1206 1205 1204 1203 1202 1201 1200 1199 1198 1197 1196 1195 1194 1193 1192 1191 1190 1189 1188 1187 1186 1185 1184 1183 1182 1181 1180 1179 1178 1177 1176 
56357 57577 6 56360 56361 56362 56363 56364 56365 56366 56367 56368 56369 56370 56371 56372 56373 56374 56375 56376 56377 56378 56379 56380 56381 56382 56383 56384 56385 56386 56387 56388 56389 56390 56391 56392 56393 56394 56395 56396 56397 56398 56399 56400 56401 56402 56403 56404 56405 
2651178 2649958 2707529 8 2651174 2651173 2651172 2651171 2651170 2651169 2651168 2651167 2651166 2651165 2651164 2651163 2651162 2651161 2651160 2651159 2651158 2651157 2651156 2651155 2651154 2651153 2651152 2651151 2651150 2651149 2651148 2651147 2651146 2651145 2651144 2651143 2651142 2651141 2651140 2651139 2651138 2651137 2651136 2651135 2651134 2651133 2651132 2651131 2651130 
124659335 124660555 124602984 127310505 10 124659340 124659341 124659342 124659343 124659344 124659345 124659346 124659347 124659348 124659349 124659350 124659351 124659352 124659353 124659354 124659355 124659356 124659357 124659358 124659359 124659360 124659361 124659362 124659363 124659364 124659365 124659366 124659367 124659368 124659369 124659370 124659371 124659372 124659373 124659374 124659375 124659376 124659377 124659378 124659379 124659380 124659381 124659382 124659383 
5861585960 5861584740 5861642311 5858934790 5986245285 12 5861585954 5861585953 5861585952 5861585951 5861585950 5861585949 5861585948 5861585947 5861585946 5861585945 5861585944 5861585943 5861585942 5861585941 5861585940 5861585939 5861585938 5861585937 5861585936 5861585935 5861585934 5861585933 5861585932 5861585931 5861585930 5861585929 5861585928 5861585927 5861585926 5861585925 5861585924 5861585923 5861585922 5861585921 5861585920 5861585919 5861585918 5861585917 5861585916 5861585915 5861585914 5861585913 5861585912 
275616602257 275616603477 275616545906 275619253427 275491942932 281478188205 14 275616602264 275616602265 275616602266 275616602267 275616602268 275616602269 275616602270 275616602271 275616602272 275616602273 275616602274 275616602275 275616602276 275616602277 275616602278 275616602279 275616602280 275616602281 275616602282 275616602283 275616602284 275616602285 275616602286 275616602287 275616602288 275616602289 275616602290 275616602291 275616602292 275616602293 275616602294 275616602295 275616602296 275616602297 275616602298 275616602299 275616602300 275616602301 275616602302 275616602303 275616602304 275616602305 
12959719829910 12959719828690 12959719886261 12959717178740 12959844489235 12953858243962 13235336432153 16 12959719829902 12959719829901 12959719829900 12959719829899 12959719829898 12959719829897 12959719829896 12959719829895 12959719829894 12959719829893 12959719829892 12959719829891 12959719829890 12959719829889 12959719829888 12959719829887 12959719829886 12959719829885 12959719829884 12959719829883 12959719829882 12959719829881 12959719829880 12959719829879 12959719829878 12959719829877 12959719829876 12959719829875 12959719829874 12959719829873 12959719829872 12959719829871 12959719829870 12959719829869 12959719829868 12959719829867 12959719829866 12959719829865 12959719829864 12959719829863 12959719829862 
609376709084219 609376709085439 609376709027868 609376711735389 609376584424894 609382570670167 609101092481976 622336428914113 18 609376709084228 609376709084229 609376709084230 609376709084231 609376709084232 609376709084233 609376709084234 609376709084235 609376709084236 609376709084237 609376709084238 609376709084239 609376709084240 609376709084241 609376709084242 609376709084243 609376709084244 609376709084245 609376709084246 609376709084247 609376709084248 609376709084249 609376709084250 609376709084251 609376709084252 609376709084253 609376709084254 609376709084255 609376709084256 609376709084257 609376709084258 609376709084259 609376709084260 609376709084261 609376709084262 609376709084263 609376709084264 609376709084265 609376709084266 609376709084267 
28653395169709764 28653395169708544 28653395169766115 28653395167058594 28653395294369089 28653389308123816 28653670786312007 28640435449879870 29262771878793965 20 28653395169709754 28653395169709753 28653395169709752 28653395169709751 28653395169709750 28653395169709749 28653395169709748 28653395169709747 28653395169709746 28653395169709745 28653395169709744 28653395169709743 28653395169709742 28653395169709741 28653395169709740 28653395169709739 28653395169709738 28653395169709737 28653395169709736 28653395169709735 28653395169709734 28653395169709733 28653395169709732 28653395169709731 28653395169709730 28653395169709729 28653395169709728 28653395169709727 28653395169709726 28653395169709725 28653395169709724 28653395169709723 28653395169709722 28653395169709721 28653395169709720 28653395169709719 28653395169709718 28653395169709717 28653395169709716 
1347306259842691685 1347306259842692905 1347306259842635334 1347306259845342855 1347306259718032360 1347306265704277633 1347305984226089442 1347319219562521579 1346696883133607484 1375959655012401429 22 1347306259842691696 1347306259842691697 1347306259842691698 1347306259842691699 1347306259842691700 1347306259842691701 1347306259842691702 1347306259842691703 1347306259842691704 1347306259842691705 1347306259842691706 1347306259842691707 1347306259842691708 1347306259842691709 1347306259842691710 1347306259842691711 1347306259842691712 1347306259842691713 1347306259842691714 1347306259842691715 1347306259842691716 1347306259842691717 1347306259842691718 1347306259842691719 1347306259842691720 1347306259842691721 1347306259842691722 1347306259842691723 1347306259842691724 1347306259842691725 1347306259842691726 1347306259842691727 1347306259842691728 1347306259842691729 1347306259842691730 1347306259842691731 1347306259842691732 1347306259842691733 
63351450920909886194 63351450920909884974 63351450920909942545 63351450920907235024 63351450921034545519 63351450915048300246 63351451196526488437 63351437961190056300 63352060297618970395 63322797525740176450 64698757180752577857 24 63351450920909886182 63351450920909886181 63351450920909886180 63351450920909886179 63351450920909886178 63351450920909886177 63351450920909886176 63351450920909886175 63351450920909886174 63351450920909886173 63351450920909886172 63351450920909886171 63351450920909886170 63351450920909886169 63351450920909886168 63351450920909886167 63351450920909886166 63351450920909886165 63351450920909886164 63351450920909886163 63351450920909886162 63351450920909886161 63351450920909886160 63351450920909886159 63351450920909886158 63351450920909886157 63351450920909886156 63351450920909886155 63351450920909886154 63351450920909886153 63351450920909886152 63351450920909886151 63351450920909886150 63351450920909886149 63351450920909886148 63351450920909886147 63351450920909886146 
